Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
The Beatles,The Beatles,,41,88,7,0.212675,0.224684,1656970.867807,0.014271,0.014271,18,0.00045,0,0.020732,17,0.301683
Traveling Wilburys,Traveling Wilburys,,13,25,8,0.204529,0.214037,114238.267383,0.008684,0.008684,18,0.000128,0,0.192308,15,0.174684
The Rutles,The Rutles,,10,18,8,0.191866,0.200877,143895.304354,0.005323,0.005323,18,0.000118,0,0.111111,5,0.096286
The Ronettes,The Ronettes,,11,21,8,0.19,0.19843,111121.267944,0.003032,0.003031,2,0.000122,0,0.163636,9,0.078871
The Dirty Mac,The Dirty Mac,,7,12,8,0.196989,0.205415,70141.300039,0.004262,0.004262,18,0.000075,0,0.095238,2,0.090994
Tony Sheridan,Tony Sheridan,,2,4,8,0.175383,0.181525,0,0.001073,0.001073,18,0.000032,0,1,1,0.024761
Tommy Quickly,Tommy Quickly,,3,7,8,0.175394,0.181589,5922.959315,0.001155,0.001155,18,0.000044,0,0,0,0.026524
The Beatnix,The Beatnix,,1,2,8,0.175378,0.181482,0,0.000998,0.000998,18,0.000017,0,0,0,0.022135
The Quarrymen,The Quarrymen,,4,10,8,0.185921,0.193064,38831,0.002731,0.002731,18,0.000061,0,0.166667,1,0.051039
Bonzo Dog Doo-Dah Band,Bonzo Dog Doo-Dah Band,,11,16,8,0.180281,0.187331,119138.696188,0.001597,0.001597,18,0.000148,0,0.036364,2,0.044593
David Catlin-Birch,David Catlin-Birch,,3,4,9,0.156099,0.160324,20227.87434,0.000134,0.000134,18,0.000052,0,0,0,0.006718
Monty Python,Monty Python,,4,4,9,0.16872,0.174331,4799.060422,0.00066,0.00066,18,0.000054,0,0.333333,2,0.017904
The New Vaudeville Band,The New Vaudeville Band,,3,3,8,0.180176,0.18678,17458.726912,0.001072,0.001072,10,0.000038,0,0,0,0.028095
The Liverpool Scene,The Liverpool Scene,,3,3,9,0.169231,0.175008,8593.957189,0.000423,0.000423,18,0.000041,0,0,0,0.015091
Grimms,Grimms,,2,2,9,0.161485,0.166324,403.429257,0.000251,0.000251,18,0.000031,0,0,0,0.008337
Larry Smith (musician),Larry Smith (musician),,1,2,9,0.152745,0.156758,0,0.000112,0.000112,18,0.000019,0,0,0,0.004456
Plastic Ono Band,Plastic Ono Band,,15,34,8,0.201327,0.211331,608910.507929,0.007345,0.007344,18,0.000164,0,0.085714,9,0.15874
The Flaming Lips,The Flaming Lips,,28,67,8,0.198765,0.209292,1278188.913041,0.002035,0.002035,24,0.000387,0,0.02381,9,0.127274
Ringo Starr,Ringo Starr,,26,49,7,0.213182,0.225159,611403.725625,0.012683,0.012683,18,0.000262,0,0.043077,14,0.259564
Tom Smothers,Tom Smothers,,2,3,9,0.167592,0.172969,19416,0.000516,0.000516,18,0.000037,0,0,0,0.012333
The Ghost of a Saber Tooth Tiger,The Ghost of a Saber Tooth Tiger,,6,12,8,0.18637,0.193949,84387.922025,0.001017,0.001017,24,0.00007,0,0.333333,5,0.045263
Yuka Honda,Yuka Honda,,4,6,9,0.174566,0.180255,27706.901643,0.000599,0.000599,24,0.000055,0,0.166667,1,0.02079
Brian Jones,Brian Jones,,8,18,8,0.202096,0.210933,168105.462343,0.004635,0.004635,18,0.000089,0,0.071429,2,0.102558
The Rolling Stones,The Rolling Stones,,57,114,7,0.229972,0.244265,2727511.994711,0.026803,0.026802,18,0.000566,0,0.008145,13,0.48555
Jimi Hendrix,Jimi Hendrix,,26,49,8,0.204544,0.215716,464545.32555,0.008664,0.008664,18,0.00028,0,0.024615,8,0.162167
Mike Leander,Mike Leander,,20,31,8,0.206801,0.217818,515644.522891,0.007004,0.007004,18,0.000218,0,0.015789,3,0.164416
Nico,Nico,,16,35,8,0.212247,0.22311,915844.318747,0.006319,0.006319,4,0.000181,0,0.083333,10,0.179873
Master Musicians of Joujouka,Master Musicians of Joujouka,,8,11,9,0.176406,0.182158,103134.924353,0.000501,0.000501,18,0.000128,0,0,0,0.020664
Geoff Bradford (musician),Geoff Bradford (musician),,4,6,9,0.171975,0.177672,3460.222737,0.00054,0.00054,18,0.000045,0,0.333333,2,0.017217
The Master Musicians of Jajouka led by Bachir Attar,The Master Musicians of Jajouka led by Bachir Attar,,3,5,8,0.189069,0.196242,19416,0.002208,0.002208,18,0.000042,0,0.333333,1,0.042376
Jackie Lee (Irish singer),Jackie Lee (Irish singer),,3,6,8,0.192099,0.200009,64135.986756,0.002571,0.00257,18,0.00004,0,0,0,0.056306
Len Beadle,Len Beadle,,4,5,9,0.163172,0.168001,30069.804034,0.000218,0.000218,18,0.000065,0,0,0,0.007982
James Apollo,James Apollo,,3,4,8,0.180417,0.18709,38942.159314,0.001148,0.001148,18,0.000044,0,0,0,0.028705
One Direction,One Direction,,10,10,9,0.184507,0.192897,93718.384725,0.00207,0.00207,5,0.000111,0,0,0,0.063458
Nicky Hopkins,Nicky Hopkins,,12,21,8,0.202863,0.212759,213702.04076,0.005928,0.005928,18,0.00012,0,0,0,0.135452
The Who,The Who,,57,114,8,0.217943,0.231459,1740233.211198,0.017871,0.017871,18,0.000589,0,0.015038,24,0.439674
The Kinks,The Kinks,,17,41,8,0.185578,0.193545,348259.37246,0.00243,0.00243,18,0.000201,0,0.051471,7,0.060664
Steve Miller Band,Steve Miller Band,,10,10,8,0.191584,0.200514,59959.027546,0.002925,0.002925,6,0.0001,0,0.022222,1,0.068709
The Jeff Beck Group,The Jeff Beck Group,,17,36,8,0.206458,0.217162,260112.72982,0.007602,0.007602,18,0.000159,0,0.080882,11,0.176296
Screaming Lord Sutch and the Savages,Screaming Lord Sutch and the Savages,,2,2,9,0.169415,0.174921,537.473537,0.000494,0.000494,18,0.000026,0,0,0,0.013195
Sweet Thursday (band),Sweet Thursday (band),,2,2,9,0.17182,0.177673,1492.127803,0.000591,0.000591,18,0.000026,0,0,0,0.013389
Quicksilver Messenger Service,Quicksilver Messenger Service,,2,2,9,0.169739,0.175466,5770.22019,0.000444,0.000444,17,0.000026,0,0,0,0.013017
George Harrison,George Harrison,,35,73,7,0.218734,0.231355,1003644.23783,0.024415,0.024415,18,0.000351,0,0.053782,32,0.404234
Tom Petty,Tom Petty,,19,35,8,0.212929,0.225438,643910.063302,0.016392,0.016392,18,0.000186,0,0.099415,17,0.332698
John Guerin,John Guerin,,7,12,8,0.200736,0.21114,220460.779369,0.022006,0.022006,26,0.000069,0,0.047619,1,0.140383
The Radha Krsna Temple (album),The Radha Krsna Temple (album),,1,1,8,0.179478,0.185843,0,0.001707,0.001707,18,0.000016,0,0,0,0.026978
Ravi Shankar,Ravi Shankar,,21,33,8,0.195797,0.205183,461296.123571,0.01155,0.01155,18,0.000298,0,0.02381,5,0.110392
Jim Keltner,Jim Keltner,,20,29,7,0.210373,0.222811,405185.878321,0.014135,0.014135,18,0.00019,0,0.021053,4,0.268862
Jim Gordon (musician),Jim Gordon (musician),,24,36,8,0.214598,0.227476,909466.372532,0.019359,0.019359,18,0.000253,0,0.036232,10,0.324082
Ian Paice,Ian Paice,,8,14,8,0.20437,0.214225,292837.897955,0.005848,0.005848,10,0.000083,0,0.107143,3,0.146382
The Remo Four,The Remo Four,,5,9,8,0.179495,0.185993,59522.316354,0.001814,0.001814,18,0.000085,0,0,0,0.03228
René Tinner,René Tinner,,7,10,8,0.19899,0.206707,101950.566112,0.003187,0.003187,18,0.000096,0,0,0,0.063913
Ronnie Spector,Ronnie Spector,,12,21,8,0.201386,0.210622,643420.708903,0.004342,0.004342,2,0.000122,0,0.090909,6,0.112073
Richard Dashut,Richard Dashut,,15,24,8,0.193676,0.201852,133651.229517,0.004299,0.004299,18,0.000175,0,0.047619,5,0.097334
Thenewno2,Thenewno2,,4,7,8,0.183309,0.190115,25160.312511,0.002027,0.002027,18,0.000048,0,0.333333,2,0.037173
Jesse Ed Davis,Jesse Ed Davis,,13,23,8,0.208438,0.219115,185337.247864,0.012521,0.012521,18,0.000133,0,0.038462,3,0.20802
Jeff Lynne,Jeff Lynne,,10,18,8,0.197377,0.205595,56040.123718,0.005395,0.005395,18,0.000098,0,0.266667,12,0.110405
Ray Cooper,Ray Cooper,,15,26,7,0.216785,0.228754,545657.768663,0.016994,0.016994,18,0.00015,0,0.038095,4,0.281255
Radha Krsna Temple,Radha Krsna Temple,,1,2,8,0.179478,0.185843,0,0.001707,0.001707,18,0.000016,0,0,0,0.026978
Richard Tee,Richard Tee,,19,26,8,0.211576,0.224002,625561.504634,0.022989,0.022989,16,0.000204,0,0,0,0.220775
Mac and Katie Kissoon,Mac and Katie Kissoon,,10,16,8,0.208561,0.219341,206121.067607,0.009435,0.009434,18,0.000106,0,0.066667,3,0.181756
Klaus Voormann,Klaus Voormann,,8,16,8,0.192463,0.201081,29596.858533,0.005524,0.005524,18,0.000082,0,0.25,7,0.107579
Shampoo (parody band),Shampoo (parody band),,1,2,8,0.175378,0.181482,0,0.000998,0.000998,18,0.000017,0,0,0,0.022135
Pete Best,Pete Best,,3,8,8,0.175388,0.181564,58244,0.001007,0.001007,18,0.000058,0,0,0,0.02404
Wayne Bickerton,Wayne Bickerton,,2,3,9,0.14922,0.152879,19416,0.000071,0.000071,18,0.000048,0,0,0,0.003208
John Kosh,John Kosh,,10,18,7,0.208303,0.218877,214326.223313,0.008989,0.008989,18,0.000102,0,0.022222,1,0.182903
Paul McCartney,Paul McCartney,,35,70,7,0.220598,0.233453,1799480.251018,0.014907,0.014907,18,0.000371,0,0.005042,3,0.293838
John Lennon,John Lennon,,22,44,7,0.213053,0.22427,367225.712631,0.013747,0.013746,18,0.000208,0,0.017316,4,0.249537
Lewis Black,Lewis Black,,1,1,8,0.172395,0.177956,0,0.000628,0.000628,18,0.000016,0,0,0,0.012528
Linda Ronstadt,Linda Ronstadt,,35,78,7,0.213862,0.226944,918380.120723,0.021505,0.021505,1,0.000353,0,0.038655,23,0.349766
Andy White (drummer),Andy White (drummer),,2,3,8,0.176452,0.182724,3837.411712,0.001023,0.001023,18,0.000028,0,0,0,0.023878
The Smithereens,The Smithereens,,3,3,9,0.171884,0.177459,11827.261343,0.000359,0.000359,23,0.000039,0,0,0,0.013394
Glyn Johns,Glyn Johns,,9,16,8,0.20966,0.220562,491447.050435,0.009722,0.009722,18,0.000094,0,0,0,0.203046
Led Zeppelin,Led Zeppelin,,26,62,8,0.209217,0.220685,701541.960787,0.007146,0.007146,10,0.000264,0,0.055385,18,0.207896
The Clash,The Clash,,42,100,8,0.197053,0.207238,1212694.596142,0.002731,0.002731,7,0.000466,0,0.046458,40,0.195986
New Model Army,New Model Army,,1,1,9,0.173323,0.179017,0,0.00068,0.00068,18,0.000017,0,0,0,0.013579
The Small Faces,The Small Faces,,2,2,8,0.17911,0.185735,906.786768,0.001169,0.001169,18,0.000026,0,0,0,0.026023
Badfinger,Badfinger,,14,26,8,0.194622,0.203054,331122.994434,0.002804,0.002804,18,0.000197,0,0.010989,1,0.071907
Todd Rundgren,Todd Rundgren,,25,51,7,0.206342,0.21742,597465.382789,0.010122,0.010122,13,0.000265,0,0.033333,10,0.171428
The Hollywood Squares (band),The Hollywood Squares (band),,1,2,9,0.162916,0.167536,0,0.000196,0.000196,18,0.00002,0,0,0,0.006379
Bob Jackson (musician),Bob Jackson (musician),,3,4,8,0.16726,0.172293,17908.657487,0.000263,0.000263,18,0.000048,0,0,0,0.009894
Pete Ham,Pete Ham,,1,2,9,0.162916,0.167536,0,0.000196,0.000196,18,0.00002,0,0,0,0.006379
Mike Gibbins,Mike Gibbins,,4,6,8,0.1757,0.181961,70647.880044,0.000454,0.000454,23,0.000066,0,0,0,0.026242
David Garrick (singer),David Garrick (singer),,1,1,9,0.162916,0.167536,0,0.000196,0.000196,18,0.00002,0,0,0,0.006379
Natural Gas (band),Natural Gas (band),,1,1,9,0.162916,0.167536,0,0.000196,0.000196,18,0.00002,0,0,0,0.006379
David Malloy,David Malloy,,10,13,8,0.187722,0.196539,115604.120656,0.002903,0.002903,18,0.000116,0,0.044444,2,0.078387
John Richardson (drummer),John Richardson (drummer),,6,7,9,0.16351,0.168314,83387.201196,0.000206,0.000206,18,0.00012,0,0,0,0.011026
Tom Evans (musician),Tom Evans (musician),,1,2,9,0.162916,0.167536,0,0.000196,0.000196,18,0.00002,0,0,0,0.006379
Joey Molland,Joey Molland,,5,7,8,0.176637,0.182971,69799.665373,0.00064,0.00064,13,0.000085,0,0,0,0.021749
Tony Kaye (musician),Tony Kaye (musician),,8,13,8,0.203232,0.212452,182593.856466,0.004747,0.004747,15,0.000092,0,0.142857,4,0.107427
Sound City Players,Sound City Players,,15,26,7,0.210423,0.221465,1070335.438813,0.006269,0.006269,0,0.000146,0,0.038095,4,0.205367
Wings (band),Wings (band),,5,5,8,0.185468,0.192474,38817.184283,0.001045,0.001045,0,0.000056,0,0,0,0.031623
George Martin,George Martin,,9,14,8,0.199634,0.208737,132642.150372,0.005103,0.005103,18,0.000095,0,0,0,0.099086
Jeff Beck,Jeff Beck,,38,74,7,0.221024,0.233615,1715200.803607,0.02044,0.020439,18,0.000382,0,0.012802,9,0.329564
Mahavishnu Orchestra,Mahavishnu Orchestra,,7,7,8,0.189964,0.198809,51955.738816,0.005894,0.005894,26,0.000072,0,0.047619,1,0.068137
The Band,The Band,,22,48,7,0.209014,0.221706,663890.161154,0.013872,0.013872,1,0.000229,0,0.025974,6,0.225435
Rory Storm,Rory Storm,,1,2,8,0.175723,0.181904,0,0.000887,0.000887,18,0.000016,0,0,0,0.0182
